millis,GPS_Epoch_Time(s),outx(mm),outy(mm),outz(mm)
296610,1758488681.40,344.53,-848.13,527.44,
297013,1758488681.80,690.98,-1066.88,616.80,
297414,1758488682.20,924.90,-1183.06,664.10,
297813,1758488682.60,1092.70,-1444.16,594.42,
298213,1758488683.00,1217.50,-1334.65,386.89,
298611,1758488683.40,877.96,-1027.27,100.31,
299012,1758488683.80,430.10,-483.69,-76.66,
299412,1758488684.20,162.30,288.06,-51.14,
299812,1758488684.60,-153.42,913.69,-59.50,
300214,1758488685.00,-531.30,1441.11,-146.64,
300614,1758488685.40,-692.24,1547.20,-210.06,
301010,1758488685.80,-781.41,1541.89,-302.02,
301408,1758488686.20,-1114.06,1759.08,-376.99,
301814,1758488686.60,-1162.51,1999.43,-515.77,
302210,1758488687.00,-813.37,1640.13,-630.57,
302613,1758488687.40,-653.02,623.82,-416.25,
303019,1758488687.80,-84.41,74.43,91.15,
303443,1758488688.20,298.35,-452.00,306.22,
303832,1758488688.60,629.95,-1130.67,455.34,
304213,1758488689.00,532.82,-1172.02,484.38,
304616,1758488689.40,381.87,-1211.90,267.51,
305015,1758488689.80,144.79,-704.67,-140.55,
305413,1758488690.20,-80.64,35.00,-225.69,
305813,1758488690.60,-185.54,697.91,-279.46,
306213,1758488691.00,-282.54,1185.18,-227.87,
306615,1758488691.40,-249.24,1156.83,-53.23,
307013,1758488691.80,-157.43,1175.15,110.17,
307416,1758488692.20,-20.43,1081.33,214.49,
307813,1758488692.60,89.14,897.93,363.71,
308214,1758488693.00,143.88,612.97,397.82,
308614,1758488693.40,138.08,415.09,408.05,
309014,1758488693.80,98.83,241.25,434.07,
309414,1758488694.20,18.23,138.02,398.28,
309814,1758488694.60,-17.93,44.89,398.85,
310214,1758488695.00,134.23,175.98,341.24,
310614,1758488695.40,555.49,269.08,37.43,
311011,1758488695.80,240.86,66.36,-37.50,
311414,1758488696.20,314.70,-354.49,310.35,
311816,1758488696.60,485.25,-1039.44,680.97,
312218,1758488697.00,698.59,-1657.74,821.43,
312617,1758488697.40,651.94,-1992.02,776.60,
313017,1758488697.80,427.12,-1874.32,355.85,
313417,1758488698.20,184.92,-1345.82,-174.97,
313818,1758488698.60,-96.94,-826.91,-559.43,
314219,1758488699.00,-495.88,-373.66,-730.24,
314619,1758488699.40,-858.23,248.59,-718.17,
315018,1758488699.80,-1136.97,745.46,-651.82,
315418,1758488700.20,-1280.53,915.87,-437.11,
315817,1758488700.60,-1341.32,802.73,-273.70,
316213,1758488701.00,-1195.85,661.93,-169.79,
316613,1758488701.40,-901.52,436.68,-101.33,
317012,1758488701.80,-720.57,310.49,16.85,
317413,1758488702.20,-618.01,480.41,49.87,
317820,1758488702.60,-549.06,291.85,-127.44,
318215,1758488703.00,-492.33,131.23,-227.37,
